species,observed_on,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,Pres_1,Pres_2,Pres_3,Pres_4,Pres_5,Pres_6,Pres_7,Pres_8,Pres_9,Pres_10,Pres_11,Pres_12,Pres_13,Pres_14,RelHum_1,RelHum_2,RelHum_3,RelHum_4,RelHum_5,RelHum_6,RelHum_7,RelHum_8,RelHum_9,RelHum_10,RelHum_11,RelHum_12,RelHum_13,RelHum_14,SpecHum_1,SpecHum_2,SpecHum_3,SpecHum_4,SpecHum_5,SpecHum_6,SpecHum_7,SpecHum_8,SpecHum_9,SpecHum_10,SpecHum_11,SpecHum_12,SpecHum_13,SpecHum_14,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,Tmax_1,Tmax_2,Tmax_3,Tmax_4,Tmax_5,Tmax_6,Tmax_7,Tmax_8,Tmax_9,Tmax_10,Tmax_11,Tmax_12,Tmax_13,Tmax_14,Tmin_1,Tmin_2,Tmin_3,Tmin_4,Tmin_5,Tmin_6,Tmin_7,Tmin_8,Tmin_9,Tmin_10,Tmin_11,Tmin_12,Tmin_13,Tmin_14,latitude,longitude,geometry,cod_prov,name,cod_ccaa,cartodb_id,created_at,updated_at,longitude_3035,latitude_3035,LC,elevation
,2011-06-04 00:00:00,0.1875,3.0,1.0625,0.9375,0.0625,0.8125,0.375,0.375,1.75,2.0,0.25,1.5,3.0625,2.3125,101326.0,101387.0,101396.0,101383.0,101404.0,101374.0,101326.0,101346.0,101366.0,101334.0,101273.0,101329.0,101324.0,101224.0,72.625,86.5,76.0,76.5625,76.0,77.75,76.875,77.3125,83.0625,81.1875,76.6875,81.875,82.3125,85.25,0.016174316,0.018005371,0.016845703,0.016967773,0.017028809,0.01727295,0.017211914,0.017333984,0.018493652,0.01776123,0.017333984,0.018432617,0.017944336,0.018127441,27.125,25.9375,27.0,27.0,27.25,27.0625,27.1875,27.25,27.0625,26.75,27.3125,27.25,26.75,26.3125,27.375,26.375,27.5,27.3125,27.4375,27.3125,27.625,27.4375,27.5625,27.4375,27.5625,27.625,27.5,26.6875,26.8125,25.6875,25.875,26.5625,27.0,26.6875,26.5625,26.9375,26.5625,25.6875,26.6875,26.5,26.1875,26.0625,41.860549086379336,-3.997153418273683,POINT (-3.997153418273683 41.860549086379336),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.997153418273683,41.860549086379336,12,928.0
,2022-09-20 00:00:00,0.1875,0.375,0.375,0.1875,1.25,0.75,0.375,0.25,0.4375,0.1875,0.375,0.3125,0.25,0.5,101515.0,101580.0,101558.0,101526.0,101676.0,101777.0,101705.0,101536.0,101447.0,101576.0,101661.0,101625.0,101588.0,101650.0,80.125,80.5,80.25,78.875,82.0625,80.875,80.875,81.625,80.5625,81.0625,80.1875,80.6875,82.625,78.8125,0.015380859,0.015686035,0.01550293,0.014953613,0.015319824,0.0154418945,0.0154418945,0.0154418945,0.015197754,0.015380859,0.015380859,0.015197754,0.015380859,0.014953613,24.6875,24.875,24.75,24.4375,24.25,24.5625,24.5625,24.375,24.375,24.4375,24.625,24.375,24.125,24.5,24.875,25.1875,25.0,24.5625,24.625,24.875,24.6875,24.6875,24.5625,24.5,24.8125,24.625,24.375,24.6875,24.5625,24.5,24.5,24.3125,23.625,24.1875,24.3125,24.125,24.125,24.3125,24.375,23.9375,23.8125,24.25,39.77892001761015,-5.855222859449896,POINT (-5.855222859449896 39.77892001761015),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-5.855222859449896,39.77892001761015,28,331.0
,2022-08-21 00:00:00,0.125,0.0,0.0,0.0,0.0,0.25,0.875,0.375,0.0,0.3125,0.75,0.0625,0.25,0.0625,87622.0,87538.0,87514.0,87535.0,87558.0,87531.0,87466.0,87491.0,87536.0,87597.0,87619.0,87613.0,87628.0,87588.0,62.0,57.3125,60.3125,64.8125,61.5,63.8125,72.0625,72.5,63.8125,71.1875,72.5,72.625,62.5,64.375,0.009765625,0.009094238,0.009277344,0.0099487305,0.009277344,0.010131836,0.011169434,0.011169434,0.009460449,0.010314941,0.010864258,0.0107421875,0.009338379,0.009521484,19.625,20.3125,19.625,19.0625,18.8125,19.625,18.4375,18.375,18.25,17.5,18.0,17.9375,18.4375,18.3125,25.875,28.375,26.5625,25.4375,24.5,26.1875,22.375,22.4375,23.9375,20.875,21.6875,21.9375,23.4375,23.6875,14.125,13.75,12.8125,13.75,14.125,15.0625,15.125,15.375,13.1875,14.625,15.375,14.25,14.4375,14.25,37.18948622230711,-4.309480117849915,POINT (-4.309480117849915 37.18948622230711),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-4.309480117849915,37.18948622230711,17,655.0
,2016-07-05 00:00:00,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88353.0,88556.0,88474.0,88293.0,88302.0,88373.0,88337.0,88275.0,88330.0,88412.0,88397.0,88437.0,88557.0,88452.0,60.875,69.1875,60.0,55.375,57.5625,61.875,63.1875,66.5625,65.3125,65.3125,64.625,63.5,57.0,51.625,0.0068969727,0.008300781,0.007507324,0.006958008,0.007080078,0.008178711,0.008850098,0.009216309,0.008422852,0.007873535,0.0072021484,0.007385254,0.0068359375,0.0068359375,13.9375,14.4375,15.3125,15.6875,15.5,16.3125,17.25,17.1875,15.875,14.75,13.5,14.0625,14.5,16.25,20.8125,18.5625,20.875,24.25,23.875,23.3125,24.3125,23.875,22.8125,21.25,19.5,18.125,19.4375,22.1875,8.9375,10.6875,10.25,8.25,9.1875,11.125,11.875,11.375,10.0,8.9375,8.875,10.375,10.25,11.25,28.8924438647564,-13.76806464598343,POINT (-13.76806464598343 28.8924438647564),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-13.76806464598343,28.8924438647564,32,226.0
,2012-12-06 00:00:00,7.9375,1.3125,1.375,0.1875,0.875,0.5625,0.3125,1.875,1.1875,0.125,0.6875,6.0,5.375,0.75,101157.0,101039.0,100970.0,101153.0,101266.0,101247.0,101202.0,101193.0,101234.0,101207.0,101197.0,101180.0,101128.0,101161.0,83.6875,83.125,77.3125,74.1875,74.875,76.625,78.25,83.125,81.875,80.8125,77.875,81.0,85.125,75.3125,0.018493652,0.018493652,0.01763916,0.017150879,0.017150879,0.01739502,0.017822266,0.01776123,0.017944336,0.018249512,0.0178833,0.018127441,0.018310547,0.017211914,26.875,27.0,27.4375,27.6875,27.5625,27.4375,27.4375,26.375,26.75,27.3125,27.625,27.125,26.4375,27.5,27.8125,27.5625,28.0625,28.0,28.125,27.875,27.6875,26.875,27.1875,27.4375,27.875,27.9375,27.3125,27.875,26.0625,26.1875,26.3125,27.125,26.75,27.0,27.0625,25.875,26.375,27.0625,27.1875,25.9375,25.875,26.875,43.10592567263507,-8.253206129071685,POINT (-8.253206129071685 43.10592567263507),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-8.253206129071685,43.10592567263507,25,416.0
,2018-10-01 00:00:00,0.1875,1.375,0.5625,0.5625,10.0625,25.6875,0.4375,2.4375,2.625,0.8125,0.4375,1.9375,0.5,0.75,101405.0,101490.0,101399.0,101319.0,101359.0,101394.0,101435.0,101444.0,101457.0,101406.0,101356.0,101352.0,101416.0,101398.0,77.0625,83.125,80.6875,83.25,84.75,86.875,83.625,87.6875,86.75,83.1875,83.125,85.5625,77.0,75.875,0.015563965,0.016479492,0.016296387,0.016662598,0.017089844,0.017211914,0.017028809,0.017089844,0.016723633,0.016540527,0.016845703,0.017333984,0.01550293,0.015258789,25.5,25.125,25.4375,25.3125,25.4375,25.125,25.5625,24.875,24.6875,25.1875,25.5,25.4375,25.375,25.375,25.9375,25.5,25.625,25.625,25.6875,25.375,25.75,25.25,25.125,25.5,25.6875,25.875,25.625,25.625,24.875,24.875,25.1875,24.9375,24.875,24.75,25.3125,24.4375,24.3125,24.6875,25.125,25.0625,25.125,25.125,41.89894795936689,-3.241591520074678,POINT (-3.241591520074678 41.89894795936689),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.241591520074678,41.89894795936689,29,1136.0
,2020-12-12 00:00:00,0.625,0.5625,0.75,0.4375,0.125,0.0625,0.4375,1.0625,1.3125,1.0,5.5625,7.125,5.25,3.125,89990.0,90029.0,90010.0,90008.0,90123.0,90143.0,90068.0,90074.0,90127.0,90095.0,89948.0,89955.0,89989.0,90022.0,73.3125,72.25,74.375,71.9375,71.625,68.25,72.3125,74.875,79.125,80.6875,83.125,86.5625,78.4375,80.1875,0.014770508,0.014587402,0.014709473,0.014038086,0.013549805,0.012878418,0.014160156,0.014709473,0.015197754,0.015380859,0.015808105,0.016479492,0.01550293,0.015380859,23.625,23.6875,23.1875,23.125,22.6875,22.8125,23.375,23.0,22.4375,22.25,22.0625,22.0625,23.0,22.4375,29.125,29.125,29.375,29.125,28.9375,29.5,30.0,28.125,27.5625,27.5,26.75,25.5,28.8125,28.0,19.125,19.125,18.8125,18.125,16.3125,17.75,18.4375,19.25,19.1875,19.6875,19.625,19.625,18.125,18.6875,37.33097531764236,-5.052666643197057,POINT (-5.052666643197057 37.330975317642356),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-5.052666643197057,37.33097531764236,13,192.0
,2022-08-03 00:00:00,0.1875,0.0625,0.0625,0.5625,0.125,0.4375,0.125,0.125,0.0,0.0625,0.125,0.5,0.1875,0.375,99868.0,99918.0,99914.0,99826.0,99870.0,99850.0,99776.0,99722.0,99826.0,99873.0,99830.0,99883.0,99929.0,99912.0,64.375,62.0,64.125,66.5625,63.4375,63.4375,62.4375,65.0625,63.375,62.5,63.625,65.125,65.0625,66.1875,0.013549805,0.013122559,0.013549805,0.014282227,0.013366699,0.013671875,0.013061523,0.0134887695,0.012939453,0.012817383,0.013061523,0.013549805,0.013244629,0.013427734,25.75,26.0,25.875,26.1875,26.0,26.3125,25.9375,25.6875,25.6875,25.6875,25.625,25.75,25.375,25.1875,29.6875,30.0,29.875,30.375,30.375,31.5,30.625,30.1875,30.625,30.125,30.0625,30.0,29.875,28.9375,22.0625,21.6875,22.25,22.4375,21.5,22.375,21.625,21.875,21.0,21.5625,21.6875,21.75,22.0625,21.125,40.23054714866777,-0.6564390851126802,POINT (-0.6564390851126802 40.23054714866777),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-0.6564390851126802,40.23054714866777,28,1223.0
,2022-06-16 00:00:00,0.0,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.1875,0.8125,0.0,0.0,0.0,85911.0,85932.0,85964.0,86022.0,86047.0,86105.0,86071.0,85990.0,86005.0,86033.0,86045.0,85973.0,85987.0,86038.0,66.4375,70.5625,66.125,63.8125,67.5,67.6875,62.4375,61.1875,65.25,68.4375,75.375,67.625,60.625,61.6875,0.010620117,0.011230469,0.010009766,0.009643555,0.010314941,0.010620117,0.00982666,0.009521484,0.010070801,0.010559082,0.011291504,0.010620117,0.009277344,0.0095825195,19.1875,19.0,18.1875,18.0,18.0,18.375,18.5625,18.5625,18.25,18.125,17.375,18.4375,18.125,18.375,24.9375,25.25,24.1875,22.8125,22.4375,23.0,23.125,23.6875,23.75,20.8125,19.6875,23.25,23.875,22.9375,13.0,12.9375,12.875,13.9375,14.5625,15.1875,13.875,13.75,13.875,15.0,15.3125,12.3125,13.3125,14.3125,36.445663970862384,-5.625189126829184,POINT (-5.625189126829184 36.445663970862384),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-5.625189126829184,36.445663970862384,23,134.0
,2018-11-26 00:00:00,0.5,5.9375,4.25,5.0625,2.5,1.375,8.3125,3.0,0.6875,10.0625,1.625,0.0,0.0625,0.0,94825.0,94980.0,94982.0,94849.0,94791.0,94881.0,94907.0,94878.0,94853.0,94949.0,94850.0,94759.0,94700.0,94795.0,67.625,78.625,79.3125,78.5625,73.8125,77.0,77.3125,74.9375,71.125,79.25,66.25,57.125,59.5625,61.875,0.015014648,0.016967773,0.017150879,0.016967773,0.016662598,0.016845703,0.016845703,0.016784668,0.016296387,0.016540527,0.014709473,0.012573242,0.013549805,0.013793945,26.125,25.25,25.25,25.25,26.125,25.4375,25.4375,25.875,26.375,24.75,26.1875,26.375,26.5,26.4375,30.875,30.0,29.1875,29.625,30.875,28.9375,30.0625,29.625,30.375,28.875,32.3125,32.8125,31.625,31.8125,21.4375,22.25,22.5625,22.375,22.75,22.5,22.0625,23.125,22.125,22.125,19.1875,20.125,21.1875,21.375,38.45565517730967,-2.887405680149328,POINT (-2.887405680149328 38.455655177309666),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-2.887405680149328,38.45565517730967,29,738.0
