Unnamed: 0,species,observed_on,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,Pres_1,Pres_2,Pres_3,Pres_4,Pres_5,Pres_6,Pres_7,Pres_8,Pres_9,Pres_10,Pres_11,Pres_12,Pres_13,Pres_14,RelHum_1,RelHum_2,RelHum_3,RelHum_4,RelHum_5,RelHum_6,RelHum_7,RelHum_8,RelHum_9,RelHum_10,RelHum_11,RelHum_12,RelHum_13,RelHum_14,SpecHum_1,SpecHum_2,SpecHum_3,SpecHum_4,SpecHum_5,SpecHum_6,SpecHum_7,SpecHum_8,SpecHum_9,SpecHum_10,SpecHum_11,SpecHum_12,SpecHum_13,SpecHum_14,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Temp_7,Temp_8,Temp_9,Temp_10,Temp_11,Temp_12,Temp_13,Temp_14,Tmax_1,Tmax_2,Tmax_3,Tmax_4,Tmax_5,Tmax_6,Tmax_7,Tmax_8,Tmax_9,Tmax_10,Tmax_11,Tmax_12,Tmax_13,Tmax_14,Tmin_1,Tmin_2,Tmin_3,Tmin_4,Tmin_5,Tmin_6,Tmin_7,Tmin_8,Tmin_9,Tmin_10,Tmin_11,Tmin_12,Tmin_13,Tmin_14,latitude,longitude,geometry,cod_prov,name,cod_ccaa,cartodb_id,created_at,updated_at,longitude_3035,latitude_3035,LC,elevation
43,Boletus edulis,2023-11-06 10:36:09+01:00,11.1875,7.8125,15.875,78.875,13.125,0.5,5.9375,5.1875,3.625,0.25,0.125,0.5,0.125,2.6875,101283.0,101183.0,101144.0,101152.0,101106.0,101079.0,101118.0,101116.0,101133.0,101148.0,101180.0,101201.0,101156.0,101058.0,87.625,86.4375,87.5,87.5,85.4375,79.375,84.9375,84.0,80.6875,77.6875,79.5,79.3125,77.6875,81.375,0.018432617,0.018371582,0.018371582,0.018249512,0.018310547,0.0178833,0.018127441,0.018371582,0.018005371,0.017700195,0.017944336,0.018188477,0.017944336,0.018188477,26.0625,26.25,26.0,25.9375,26.375,27.25,26.3125,26.6875,27.0625,27.375,27.25,27.5,27.625,27.125,26.4375,27.0625,26.5625,26.5625,27.25,27.6875,27.125,27.125,27.375,27.6875,27.6875,27.8125,27.9375,27.6875,25.6875,25.75,25.25,25.5,25.8125,26.625,25.5,25.9375,26.25,27.0,27.0,27.25,27.3125,26.1875,40.8879916667,-3.9763716667,POINT (-3.9763716667 40.8879916667),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.9763716667,40.8879916667,25,1637.0
102,Boletus edulis,2015-10-22 10:32:22+02:00,0.25,0.125,0.25,0.3125,0.8125,1.0,0.0625,6.4375,2.125,1.25,8.1875,6.9375,1.4375,3.3125,101212.0,101200.0,101293.0,101404.0,101378.0,101300.0,101190.0,101190.0,101238.0,101350.0,101418.0,101385.0,101262.0,101263.0,77.75,79.0625,77.6875,80.3125,84.625,81.625,80.3125,86.125,86.25,83.4375,88.3125,86.4375,81.8125,84.8125,0.017211914,0.017456055,0.017150879,0.017578125,0.018432617,0.018066406,0.0178833,0.018188477,0.018371582,0.018127441,0.018310547,0.018066406,0.017700195,0.018066406,27.0,26.9375,26.9375,26.75,26.6875,27.0,27.0625,26.1875,26.3125,26.6875,25.875,26.0625,26.5625,26.3125,27.125,27.0625,27.25,27.0,26.875,27.3125,27.25,26.9375,26.5625,27.0625,26.5,26.4375,27.0625,26.8125,26.875,26.8125,26.5625,26.4375,26.5,26.875,26.75,25.5625,26.0625,25.8125,25.4375,25.5625,26.0625,25.625,42.1678368281,-2.3650706559,POINT (-2.3650706559 42.1678368281),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-2.3650706559,42.1678368281,29,1055.0
149,Boletus edulis,2017-09-23 10:36:00+02:00,0.6875,0.6875,3.0625,4.625,1.0,0.0625,0.0625,0.0,0.8125,0.625,1.0625,0.8125,0.9375,1.25,101429.0,101415.0,101413.0,101512.0,101516.0,101472.0,101352.0,101283.0,101339.0,101374.0,101387.0,101354.0,101355.0,101366.0,81.25,76.0625,85.125,90.3125,85.9375,79.0,75.5625,79.6875,80.75,82.25,82.0,80.125,80.0625,79.375,0.016479492,0.01550293,0.017211914,0.01751709,0.017211914,0.016052246,0.014953613,0.015930176,0.016235352,0.016601562,0.016357422,0.016174316,0.016052246,0.01586914,25.5625,25.625,25.5,24.75,25.3125,25.625,25.125,25.25,25.375,25.4375,25.25,25.4375,25.3125,25.25,25.875,25.9375,26.0,25.25,25.5625,25.8125,25.6875,25.4375,25.625,25.75,25.5,25.625,25.625,25.625,25.3125,25.25,24.6875,24.4375,25.0,25.375,24.6875,24.9375,25.125,25.125,24.8125,25.125,25.0,25.0,42.872761,-1.218694,POINT (-1.218694 42.872761),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-1.218694,42.872761,23,1206.0
291,Boletus edulis,2017-09-02 12:01:00+02:00,0.0625,0.0,0.1875,0.0,0.125,0.125,0.375,0.6875,0.625,1.8125,0.4375,0.6875,0.3125,0.25,100902.0,100890.0,100877.0,100832.0,100810.0,100853.0,100841.0,100782.0,100804.0,100745.0,100736.0,100735.0,100866.0,100967.0,68.625,66.5,65.3125,63.9375,64.25,65.375,64.125,67.125,68.8125,70.8125,66.5625,65.5625,63.8125,64.125,0.015075684,0.0146484375,0.014343262,0.014038086,0.014099121,0.014343262,0.014038086,0.014526367,0.014892578,0.01586914,0.014892578,0.014465332,0.013977051,0.014160156,26.75,26.75,26.8125,26.75,26.875,26.75,26.875,26.4375,26.625,26.9375,27.0625,26.9375,26.875,26.9375,31.0625,31.1875,31.3125,31.6875,31.875,31.375,31.625,30.8125,31.375,30.875,31.6875,31.75,31.875,31.8125,23.5,23.375,23.125,22.875,23.25,23.5625,24.0,22.4375,23.0625,23.9375,23.75,23.75,23.875,23.875,42.6987997636,0.7805740914,POINT (0.7805740914 42.6987997636),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,0.7805740914,42.6987997636,24,1418.0
327,Boletus edulis,2023-12-16 12:59:41+00:00,4.75,3.3125,2.5,1.0,0.5,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95006.0,95176.0,95188.0,95045.0,95134.0,95068.0,94749.0,94784.0,94966.0,95158.0,94998.0,94915.0,94996.0,95041.0,67.75,70.6875,71.75,63.9375,68.5,59.875,53.75,51.375,52.125,51.25,53.375,52.75,50.5625,51.875,0.017944336,0.017456055,0.016967773,0.016601562,0.016662598,0.016235352,0.016052246,0.015075684,0.014465332,0.014160156,0.015625,0.014892578,0.013549805,0.013244629,28.875,27.625,26.9375,28.5625,27.4375,29.3125,31.0625,30.75,29.625,29.6875,30.5625,30.0625,29.125,28.5,31.375,28.4375,28.0,30.375,28.1875,30.1875,33.125,32.6875,31.5,31.1875,31.9375,32.125,31.25,30.625,26.5625,26.125,25.625,27.375,26.3125,28.125,29.125,28.8125,27.6875,27.9375,28.75,27.75,26.8125,25.9375,28.357655,-16.6539766667,POINT (-16.6539766667 28.357655),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-16.6539766667,28.357655,24,814.0
329,Boletus edulis,2023-12-16 12:40:12+01:00,9.6875,3.375,1.375,0.9375,1.1875,4.5,7.4375,1.75,3.0,6.375,0.5,0.1875,0.8125,0.75,101099.0,101172.0,101103.0,101024.0,101110.0,101206.0,101154.0,101100.0,101138.0,101166.0,101183.0,101171.0,101144.0,101096.0,84.0625,81.5625,82.5,76.875,78.875,83.6875,82.6875,81.5,82.75,78.75,73.375,74.4375,80.125,79.625,0.019042969,0.01940918,0.019165039,0.018615723,0.018493652,0.018676758,0.018432617,0.018310547,0.018371582,0.0178833,0.017333984,0.01776123,0.018371582,0.018493652,27.3125,28.1875,27.75,28.5,27.875,27.0625,27.0,27.1875,27.0,27.375,28.0625,28.25,27.5625,27.75,27.8125,29.0,28.5625,29.125,28.25,27.6875,27.5625,28.0625,27.375,27.9375,28.4375,28.5,27.9375,28.5625,26.375,27.0,26.625,27.875,27.5625,26.3125,26.25,26.4375,26.5625,26.875,27.5625,27.9375,27.0625,26.6875,43.054154432,-7.5011897524,POINT (-7.5011897524 43.054154432),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-7.5011897524,43.054154432,20,481.0
366,Boletus edulis,2023-11-19 14:26:00+01:00,5.4375,0.75,1.25,8.125,13.9375,3.6875,0.25,1.0625,8.9375,3.9375,4.125,22.1875,3.0,7.0,101138.0,101198.0,101219.0,101248.0,101193.0,101196.0,101284.0,101293.0,101315.0,101232.0,101176.0,101181.0,101260.0,101275.0,87.25,77.875,81.5,86.0625,88.25,82.8125,77.5,81.3125,86.9375,82.1875,83.625,86.5625,81.8125,86.4375,0.019165039,0.018371582,0.018859863,0.018920898,0.018981934,0.018676758,0.018127441,0.018371582,0.018676758,0.018310547,0.018249512,0.018432617,0.0178833,0.018676758,26.8125,28.0,27.6875,26.8125,26.4375,27.3125,27.875,27.375,26.4375,27.0625,26.6875,26.3125,26.75,26.625,27.625,28.375,28.25,27.75,26.875,27.75,28.25,28.375,26.75,27.6875,27.25,26.9375,27.25,27.125,26.3125,27.4375,26.875,26.25,25.9375,26.4375,27.3125,25.9375,26.0,26.125,26.125,25.875,25.75,26.0625,43.5224785371,-5.724595148,POINT (-5.724595148 43.5224785371),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-5.724595148,43.5224785371,3,44.0
369,Boletus edulis,2023-10-15 19:10:05+02:00,0.1875,0.1875,0.5,0.125,1.1875,0.4375,0.25,0.9375,0.875,1.625,0.8125,4.3125,8.0625,0.375,101110.0,101135.0,101238.0,101318.0,101324.0,101335.0,101358.0,101316.0,101294.0,101344.0,101458.0,101496.0,101430.0,101445.0,81.25,80.0625,81.375,77.875,77.8125,76.5,78.375,79.6875,78.625,82.9375,80.375,81.625,89.25,76.375,0.018493652,0.017822266,0.018005371,0.017028809,0.016601562,0.016540527,0.016967773,0.016906738,0.016662598,0.01751709,0.017333984,0.01739502,0.017822266,0.016296387,27.375,27.0625,27.0,26.8125,26.375,26.625,26.625,26.3125,26.25,26.25,26.5625,26.375,25.25,26.4375,27.625,27.375,27.1875,27.0625,26.75,26.875,26.8125,26.875,26.4375,26.75,27.0,26.8125,25.4375,26.6875,27.125,26.75,26.75,26.3125,25.75,26.25,26.25,25.9375,26.0,25.0625,25.8125,25.9375,25.0,26.0,41.1300083333,-3.2466,POINT (-3.2466 41.1300083333),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-3.2466,41.1300083333,28,1339.0
390,Boletus edulis,2023-10-08 10:19:12+02:00,0.0,1.0625,0.875,0.0625,11.625,0.875,0.0,0.0,0.0,1.1875,0.375,0.0,0.0,0.0,99672.0,99694.0,99731.0,99879.0,99900.0,99804.0,99775.0,99777.0,99852.0,99802.0,99757.0,99667.0,99667.0,99698.0,56.875,65.5,62.5625,63.375,75.1875,63.625,54.5625,58.3125,60.1875,63.625,57.0,54.125,54.5625,51.5,0.015686035,0.017333984,0.016723633,0.016418457,0.018432617,0.017150879,0.014831543,0.01586914,0.016174316,0.01727295,0.015686035,0.014831543,0.014709473,0.013793945,30.8125,29.375,29.9375,29.25,27.9375,29.875,30.8125,30.375,29.6875,29.875,30.625,30.625,30.3125,30.375,36.75,33.625,35.625,33.875,31.25,34.625,37.3125,36.0,33.8125,34.4375,36.6875,36.8125,36.625,36.625,25.5625,26.0,25.1875,24.75,25.0625,25.625,24.9375,25.25,26.4375,25.5,25.125,25.125,24.6875,24.75,42.3726378227,2.3587718233,POINT (2.3587718233 42.3726378227),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,2.3587718233,42.3726378227,27,1648.0
402,Boletus edulis,2020-10-15 11:24:28+02:00,0.0,0.0,0.125,0.0,0.125,0.0,1.0,0.625,1.75,0.625,0.75,2.5625,0.3125,0.0625,101314.0,101338.0,101194.0,101095.0,101114.0,101164.0,101168.0,101204.0,101226.0,101215.0,101273.0,101299.0,101295.0,101248.0,81.0625,83.125,81.0625,76.3125,80.0,80.3125,85.0625,85.0625,86.0,83.8125,84.1875,86.125,82.875,82.6875,0.017211914,0.0178833,0.017578125,0.016296387,0.016723633,0.016967773,0.017700195,0.018066406,0.018005371,0.017700195,0.017700195,0.01751709,0.017089844,0.016967773,26.25,26.5,26.625,26.375,26.0,26.1875,25.875,26.25,26.0,26.1875,26.0625,25.5625,25.8125,25.75,26.5625,26.6875,26.9375,26.6875,26.125,26.5,26.0625,26.5625,26.1875,26.375,26.4375,25.875,26.1875,26.0,25.75,26.0625,26.3125,25.9375,25.75,25.8125,25.6875,25.9375,25.875,25.8125,25.75,25.1875,25.4375,25.3125,42.9799601861,-2.8589028865,POINT (-2.8589028865 42.9799601861),7,Illes Balears,3,7,2014-09-30,2014-12-25 01:56:10,-2.8589028865,42.9799601861,23,680.0
